<BALANCE>,Data
17426.0,2017-05-26
17426.0,2017-05-29
17426.0,2017-05-30
17426.0,2017-05-31
17631.0,2017-06-01
17512.0,2017-06-02
17462.0,2017-06-05
17430.0,2017-06-06
17536.0,2017-06-07
17335.0,2017-06-08
17335.0,2017-06-09
17335.0,2017-06-12
17337.0,2017-06-13
17267.0,2017-06-14
17299.0,2017-06-16
17147.0,2017-06-19
17147.0,2017-06-20
17002.0,2017-06-21
16726.0,2017-06-22
16726.0,2017-06-23
16832.0,2017-06-26
16932.0,2017-06-27
16658.0,2017-06-28
16822.0,2017-06-29
16784.0,2017-06-30
16757.0,2017-07-03
16676.0,2017-07-04
16595.0,2017-07-05
16595.0,2017-07-06
16828.0,2017-07-07
16828.0,2017-07-10
17095.0,2017-07-11
17312.0,2017-07-12
17220.0,2017-07-13
17260.0,2017-07-14
17260.0,2017-07-17
17262.0,2017-07-18
17344.0,2017-07-19
17510.0,2017-07-20
17510.0,2017-07-21
17281.0,2017-07-24
17229.0,2017-07-25
17524.0,2017-07-26
17450.0,2017-07-27
17560.0,2017-07-28
17596.0,2017-07-31
17289.0,2017-08-01
17260.0,2017-08-02
17260.0,2017-08-03
17286.0,2017-08-04
17459.0,2017-08-07
17741.0,2017-08-08
17582.0,2017-08-09
17498.0,2017-08-10
17431.0,2017-08-11
17743.0,2017-08-14
17617.0,2017-08-15
17629.0,2017-08-16
17629.0,2017-08-17
17606.0,2017-08-18
17483.0,2017-08-21
17403.0,2017-08-22
17010.0,2017-08-23
16793.0,2017-08-24
16808.0,2017-08-25
16858.0,2017-08-28
17034.0,2017-08-29
17034.0,2017-08-30
17146.0,2017-08-31
17232.0,2017-09-01
17139.0,2017-09-04
17437.0,2017-09-05
17281.0,2017-09-06
17482.0,2017-09-08
17498.0,2017-09-11
18030.0,2017-09-12
17806.0,2017-09-13
17806.0,2017-09-14
18145.0,2017-09-15
18163.0,2017-09-18
18428.0,2017-09-19
18767.0,2017-09-20
19014.0,2017-09-21
18991.0,2017-09-22
18991.0,2017-09-25
18965.0,2017-09-26
19174.0,2017-09-27
19006.0,2017-09-28
19000.0,2017-09-29
18895.0,2017-10-02
18895.0,2017-10-03
18895.0,2017-10-04
19234.0,2017-10-05
19234.0,2017-10-06
19234.0,2017-10-09
19000.0,2017-10-10
19000.0,2017-10-11
19046.0,2017-10-13
19152.0,2017-10-16
19152.0,2017-10-17
19214.0,2017-10-18
19288.0,2017-10-19
19338.0,2017-10-20
19338.0,2017-10-23
19158.0,2017-10-24
19497.0,2017-10-25
19738.0,2017-10-26
19403.0,2017-10-27
19403.0,2017-10-30
19563.0,2017-10-31
19645.0,2017-11-01
19645.0,2017-11-03
19575.0,2017-11-06
19575.0,2017-11-07
19349.0,2017-11-08
19688.0,2017-11-09
19688.0,2017-11-10
19656.0,2017-11-13
19995.0,2017-11-14
20084.0,2017-11-16
19737.0,2017-11-17
19972.0,2017-11-21
19559.0,2017-11-22
19601.0,2017-11-23
