<BALANCE>,Data
11142.0,2017-05-19
11166.0,2017-05-22
10897.0,2017-05-23
11028.0,2017-05-24
11026.0,2017-05-25
10971.0,2017-05-26
11096.0,2017-05-29
11205.0,2017-05-30
10865.0,2017-05-31
10826.0,2017-06-01
11118.0,2017-06-02
11341.0,2017-06-05
11392.0,2017-06-06
11463.0,2017-06-07
11479.0,2017-06-08
11609.0,2017-06-09
11623.0,2017-06-12
11818.0,2017-06-13
11777.0,2017-06-14
11678.0,2017-06-16
11726.0,2017-06-19
11483.0,2017-06-20
11491.0,2017-06-21
11577.0,2017-06-22
11601.0,2017-06-23
11543.0,2017-06-26
11519.0,2017-06-27
11737.0,2017-06-28
11817.0,2017-06-29
11744.0,2017-06-30
11854.0,2017-07-03
11973.0,2017-07-04
12293.0,2017-07-05
12373.0,2017-07-06
12351.0,2017-07-07
12260.0,2017-07-10
12210.0,2017-07-11
12264.0,2017-07-12
12322.0,2017-07-13
12366.0,2017-07-14
12427.0,2017-07-17
12333.0,2017-07-18
12236.0,2017-07-19
12346.0,2017-07-20
12496.0,2017-07-21
12429.0,2017-07-24
12582.0,2017-07-25
12538.0,2017-07-26
12350.0,2017-07-27
12432.0,2017-07-28
12414.0,2017-07-31
12226.0,2017-08-01
12286.0,2017-08-02
12257.0,2017-08-03
12399.0,2017-08-04
12075.0,2017-08-07
11898.0,2017-08-08
11980.0,2017-08-09
11823.0,2017-08-10
11884.0,2017-08-11
11782.0,2017-08-14
11656.0,2017-08-15
11812.0,2017-08-16
11861.0,2017-08-17
12040.0,2017-08-18
12021.0,2017-08-21
11849.0,2017-08-22
11961.0,2017-08-23
11883.0,2017-08-24
11823.0,2017-08-25
11916.0,2017-08-28
11720.0,2017-08-29
11628.0,2017-08-30
11626.0,2017-08-31
11444.0,2017-09-01
11509.0,2017-09-04
11335.0,2017-09-05
11213.0,2017-09-06
11237.0,2017-09-08
10941.0,2017-09-11
11032.0,2017-09-12
11208.0,2017-09-13
11365.0,2017-09-14
10942.0,2017-09-15
11314.0,2017-09-18
11401.0,2017-09-19
11588.0,2017-09-20
11725.0,2017-09-21
11684.0,2017-09-22
11468.0,2017-09-25
11354.0,2017-09-26
11380.0,2017-09-27
11784.0,2017-09-28
11851.0,2017-09-29
12190.0,2017-10-02
11704.0,2017-10-03
11872.0,2017-10-04
11881.0,2017-10-05
11948.0,2017-10-06
12052.0,2017-10-09
11990.0,2017-10-10
12100.0,2017-10-11
12256.0,2017-10-13
12446.0,2017-10-16
12420.0,2017-10-17
12428.0,2017-10-18
12009.0,2017-10-19
11879.0,2017-10-20
11921.0,2017-10-23
12170.0,2017-10-24
12040.0,2017-10-25
11962.0,2017-10-26
12236.0,2017-10-27
12064.0,2017-10-30
12216.0,2017-10-31
12334.0,2017-11-01
12244.0,2017-11-03
12505.0,2017-11-06
12276.0,2017-11-07
12358.0,2017-11-08
12426.0,2017-11-09
12508.0,2017-11-10
12467.0,2017-11-13
12407.0,2017-11-14
12450.0,2017-11-16
12651.0,2017-11-17
12492.0,2017-11-21
12731.0,2017-11-22
12422.0,2017-11-23
12561.0,2017-11-24
12382.0,2017-11-27
12684.0,2017-11-28
12491.0,2017-11-29
12258.0,2017-11-30
12597.0,2017-12-01
12807.0,2017-12-04
12893.0,2017-12-05
13234.0,2017-12-06
12938.0,2017-12-07
12993.0,2017-12-08
13038.0,2017-12-11
12951.0,2017-12-12
13093.0,2017-12-13
13192.0,2017-12-14
13380.0,2017-12-15
13366.0,2017-12-18
13459.0,2017-12-19
13313.0,2017-12-20
13463.0,2017-12-21
13547.0,2017-12-22
13545.0,2017-12-26
13357.0,2017-12-27
13385.0,2017-12-28
13032.0,2018-01-02
12982.0,2018-01-03
12814.0,2018-01-04
12988.0,2018-01-05
13149.0,2018-01-08
13158.0,2018-01-09
13403.0,2018-01-10
13388.0,2018-01-11
13533.0,2018-01-12
13489.0,2018-01-15
13717.0,2018-01-16
13393.0,2018-01-17
13448.0,2018-01-18
13539.0,2018-01-19
13478.0,2018-01-22
13564.0,2018-01-23
13533.0,2018-01-24
13876.0,2018-01-26
14110.0,2018-01-29
14234.0,2018-01-30
14007.0,2018-01-31
14340.0,2018-02-01
14350.0,2018-02-02
14362.0,2018-02-05
14035.0,2018-02-06
13811.0,2018-02-07
13852.0,2018-02-08
14124.0,2018-02-09
13962.0,2018-02-14
14044.0,2018-02-15
14125.0,2018-02-16
14107.0,2018-02-19
14247.0,2018-02-20
14038.0,2018-02-21
13735.0,2018-02-22
13693.0,2018-02-23
13727.0,2018-02-26
14166.0,2018-02-27
14082.0,2018-02-28
14241.0,2018-03-01
14070.0,2018-03-02
14264.0,2018-03-05
14270.0,2018-03-06
14233.0,2018-03-07
14344.0,2018-03-08
14581.0,2018-03-09
14626.0,2018-03-12
14619.0,2018-03-13
14766.0,2018-03-14
14650.0,2018-03-15
14901.0,2018-03-16
15038.0,2018-03-19
15219.0,2018-03-20
15075.0,2018-03-21
15175.0,2018-03-22
15548.0,2018-03-23
15395.0,2018-03-26
