<BALANCE>,Data
6790.0,2017-09-18
6803.0,2017-09-19
6791.0,2017-09-20
6778.0,2017-09-21
6811.0,2017-09-22
6817.0,2017-09-25
6820.0,2017-09-26
6856.0,2017-09-27
6865.0,2017-09-28
6790.0,2017-09-29
6819.0,2017-10-02
6853.0,2017-10-03
6917.0,2017-10-04
6792.0,2017-10-05
6677.0,2017-10-06
6721.0,2017-10-09
6706.0,2017-10-10
6709.0,2017-10-11
6711.0,2017-10-13
6743.0,2017-10-16
6773.0,2017-10-17
6797.0,2017-10-18
6709.0,2017-10-19
6688.0,2017-10-20
6616.0,2017-10-23
6617.0,2017-10-24
6615.0,2017-10-25
6673.0,2017-10-26
6683.0,2017-10-27
6660.0,2017-10-30
6671.0,2017-10-31
6679.0,2017-11-01
6688.0,2017-11-03
6718.0,2017-11-06
6634.0,2017-11-07
6655.0,2017-11-08
6716.0,2017-11-09
6775.0,2017-11-10
6785.0,2017-11-13
6846.0,2017-11-14
6848.0,2017-11-16
6857.0,2017-11-17
6717.0,2017-11-21
6717.0,2017-11-22
6729.0,2017-11-23
6770.0,2017-11-24
6682.0,2017-11-27
6680.0,2017-11-28
6724.0,2017-11-29
6622.0,2017-11-30
6692.0,2017-12-01
6747.0,2017-12-04
6785.0,2017-12-05
6842.0,2017-12-06
6581.0,2017-12-07
6611.0,2017-12-08
6606.0,2017-12-11
6523.0,2017-12-12
6730.0,2017-12-13
6721.0,2017-12-14
6750.0,2017-12-15
6781.0,2017-12-18
6822.0,2017-12-19
6772.0,2017-12-20
6809.0,2017-12-21
6810.0,2017-12-22
6812.0,2017-12-26
6813.0,2017-12-27
6809.0,2017-12-28
6548.0,2018-01-02
6567.0,2018-01-03
6583.0,2018-01-04
6607.0,2018-01-05
6643.0,2018-01-08
6645.0,2018-01-09
6697.0,2018-01-10
6703.0,2018-01-11
6710.0,2018-01-12
6641.0,2018-01-15
6691.0,2018-01-16
6694.0,2018-01-17
6703.0,2018-01-18
6702.0,2018-01-19
6712.0,2018-01-22
6736.0,2018-01-23
6475.0,2018-01-24
6536.0,2018-01-26
6556.0,2018-01-29
6617.0,2018-01-30
6463.0,2018-01-31
6462.0,2018-02-01
6461.0,2018-02-02
6435.0,2018-02-05
6549.0,2018-02-06
6574.0,2018-02-07
6647.0,2018-02-08
6685.0,2018-02-09
6487.0,2018-02-14
6468.0,2018-02-15
6466.0,2018-02-16
6509.0,2018-02-19
6550.0,2018-02-20
6444.0,2018-02-21
6512.0,2018-02-22
6524.0,2018-02-23
6508.0,2018-02-26
6546.0,2018-02-27
6565.0,2018-02-28
6650.0,2018-03-01
6556.0,2018-03-02
6620.0,2018-03-05
6614.0,2018-03-06
6725.0,2018-03-07
6755.0,2018-03-08
6761.0,2018-03-09
6789.0,2018-03-12
6769.0,2018-03-13
6801.0,2018-03-14
6802.0,2018-03-15
6802.0,2018-03-16
6817.0,2018-03-19
6860.0,2018-03-20
6866.0,2018-03-21
6871.0,2018-03-22
6925.0,2018-03-23
6983.0,2018-03-26
7046.0,2018-03-27
7073.0,2018-03-28
6812.0,2018-03-29
6844.0,2018-04-02
6838.0,2018-04-03
6863.0,2018-04-04
7011.0,2018-04-05
7027.0,2018-04-06
7092.0,2018-04-09
7160.0,2018-04-10
7210.0,2018-04-11
7262.0,2018-04-12
7299.0,2018-04-13
7300.0,2018-04-16
7313.0,2018-04-17
7052.0,2018-04-18
7053.0,2018-04-19
7054.0,2018-04-20
6983.0,2018-04-23
6975.0,2018-04-24
6995.0,2018-04-25
7024.0,2018-04-26
7035.0,2018-04-27
7038.0,2018-04-30
6861.0,2018-05-02
6875.0,2018-05-03
6827.0,2018-05-04
6834.0,2018-05-07
6911.0,2018-05-08
6987.0,2018-05-09
7007.0,2018-05-10
7044.0,2018-05-11
7065.0,2018-05-14
6993.0,2018-05-15
7039.0,2018-05-16
6778.0,2018-05-17
6517.0,2018-05-18
6560.0,2018-05-21
6604.0,2018-05-22
6578.0,2018-05-23
6636.0,2018-05-24
6635.0,2018-05-25
6374.0,2018-05-28
6511.0,2018-05-29
6546.0,2018-05-30
6658.0,2018-06-01
6693.0,2018-06-04
6687.0,2018-06-05
6644.0,2018-06-06
6684.0,2018-06-07
6758.0,2018-06-08
6825.0,2018-06-11
6836.0,2018-06-12
6973.0,2018-06-13
7005.0,2018-06-14
7047.0,2018-06-15
7027.0,2018-06-18
7126.0,2018-06-19
7078.0,2018-06-20
7153.0,2018-06-21
7119.0,2018-06-22
7138.0,2018-06-25
7117.0,2018-06-26
7121.0,2018-06-27
7161.0,2018-06-28
7134.0,2018-06-29
7189.0,2018-07-02
7250.0,2018-07-03
7269.0,2018-07-04
7351.0,2018-07-05
7417.0,2018-07-06
7455.0,2018-07-10
7539.0,2018-07-11
7444.0,2018-07-12
7474.0,2018-07-13
7507.0,2018-07-16
7509.0,2018-07-17
7547.0,2018-07-18
7502.0,2018-07-19
7608.0,2018-07-20
7629.0,2018-07-23
7650.0,2018-07-24
7651.0,2018-07-25
7659.0,2018-07-26
7678.0,2018-07-27
7699.0,2018-07-30
7675.0,2018-07-31
7709.0,2018-08-01
7786.0,2018-08-02
7525.0,2018-08-03
7601.0,2018-08-06
7621.0,2018-08-07
7633.0,2018-08-08
7694.0,2018-08-09
7433.0,2018-08-10
7535.0,2018-08-13
7534.0,2018-08-14
7537.0,2018-08-15
7543.0,2018-08-16
7552.0,2018-08-17
7597.0,2018-08-20
7620.0,2018-08-21
7586.0,2018-08-22
7602.0,2018-08-23
7665.0,2018-08-24
7726.0,2018-08-27
7719.0,2018-08-28
7741.0,2018-08-29
7480.0,2018-08-30
7521.0,2018-08-31
7527.0,2018-09-03
7437.0,2018-09-04
7505.0,2018-09-05
7463.0,2018-09-06
7564.0,2018-09-10
7399.0,2018-09-11
7458.0,2018-09-12
7539.0,2018-09-13
7547.0,2018-09-14
7535.0,2018-09-17
7621.0,2018-09-18
7708.0,2018-09-19
7694.0,2018-09-20
7662.0,2018-09-21
7681.0,2018-09-24
7785.0,2018-09-25
7790.0,2018-09-26
7839.0,2018-09-27
7917.0,2018-09-28
7957.0,2018-10-01
7696.0,2018-10-02
7435.0,2018-10-03
7522.0,2018-10-04
7711.0,2018-10-05
7890.0,2018-10-08
7967.0,2018-10-09
7891.0,2018-10-10
7948.0,2018-10-11
8019.0,2018-10-15
7866.0,2018-10-16
7931.0,2018-10-17
7999.0,2018-10-18
8045.0,2018-10-19
8016.0,2018-10-22
8010.0,2018-10-23
8012.0,2018-10-24
8051.0,2018-10-25
8218.0,2018-10-26
8575.0,2018-10-29
8704.0,2018-10-30
8748.0,2018-10-31
8846.0,2018-11-01
8850.0,2018-11-05
8824.0,2018-11-06
8878.0,2018-11-07
8893.0,2018-11-08
8966.0,2018-11-09
9051.0,2018-11-12
9110.0,2018-11-13
9135.0,2018-11-14
9229.0,2018-11-16
9231.0,2018-11-19
9282.0,2018-11-21
9296.0,2018-11-22
9332.0,2018-11-23
9361.0,2018-11-26
9362.0,2018-11-27
9389.0,2018-11-28
9434.0,2018-11-29
9509.0,2018-11-30
9573.0,2018-12-03
9600.0,2018-12-04
9721.0,2018-12-05
9721.0,2018-12-06
9842.0,2018-12-07
9905.0,2018-12-10
9810.0,2018-12-11
9762.0,2018-12-12
9789.0,2018-12-13
9857.0,2018-12-14
9859.0,2018-12-17
9858.0,2018-12-18
9853.0,2018-12-19
10025.0,2018-12-20
10071.0,2018-12-21
9950.0,2018-12-26
9950.0,2018-12-27
9689.0,2018-12-28
9755.0,2019-01-02
9776.0,2019-01-03
9898.0,2019-01-04
9953.0,2019-01-07
9958.0,2019-01-08
9819.0,2019-01-09
9840.0,2019-01-10
9885.0,2019-01-11
9954.0,2019-01-14
9986.0,2019-01-15
10022.0,2019-01-16
10036.0,2019-01-17
10048.0,2019-01-18
9941.0,2019-01-21
9974.0,2019-01-22
9822.0,2019-01-23
9853.0,2019-01-24
9592.0,2019-01-28
9464.0,2019-01-29
9418.0,2019-01-30
9309.0,2019-01-31
9338.0,2019-02-01
9453.0,2019-02-04
9463.0,2019-02-05
9202.0,2019-02-06
9303.0,2019-02-07
9339.0,2019-02-08
9447.0,2019-02-11
9415.0,2019-02-12
9429.0,2019-02-13
9445.0,2019-02-14
9554.0,2019-02-15
9636.0,2019-02-18
9699.0,2019-02-19
9718.0,2019-02-20
9759.0,2019-02-21
9818.0,2019-02-22
9905.0,2019-02-25
9934.0,2019-02-26
9990.0,2019-02-27
9991.0,2019-02-28
10044.0,2019-03-01
10056.0,2019-03-06
10045.0,2019-03-07
9995.0,2019-03-08
9734.0,2019-03-11
9740.0,2019-03-12
9798.0,2019-03-13
9822.0,2019-03-14
9871.0,2019-03-15
9920.0,2019-03-18
9971.0,2019-03-19
