<BALANCE>,Data
7943.0,2018-01-03
7985.0,2018-01-04
7985.0,2018-01-05
7985.0,2018-01-08
7985.0,2018-01-09
7924.0,2018-01-10
7967.0,2018-01-11
7967.0,2018-01-12
7975.0,2018-01-15
7925.0,2018-01-16
8052.0,2018-01-17
8052.0,2018-01-18
8052.0,2018-01-19
7991.0,2018-01-22
8002.0,2018-01-23
8360.0,2018-01-24
8360.0,2018-01-26
8360.0,2018-01-29
8299.0,2018-01-30
8299.0,2018-01-31
8299.0,2018-02-01
8238.0,2018-02-02
8238.0,2018-02-05
8177.0,2018-02-06
8177.0,2018-02-07
8356.0,2018-02-08
8535.0,2018-02-09
8535.0,2018-02-14
8535.0,2018-02-15
8535.0,2018-02-16
8515.0,2018-02-19
8633.0,2018-02-20
8511.0,2018-02-21
8511.0,2018-02-22
8450.0,2018-02-23
8389.0,2018-02-26
8328.0,2018-02-27
8267.0,2018-02-28
8206.0,2018-03-01
8206.0,2018-03-02
8084.0,2018-03-05
8084.0,2018-03-06
8263.0,2018-03-07
8263.0,2018-03-08
8373.0,2018-03-09
8373.0,2018-03-12
8251.0,2018-03-13
8190.0,2018-03-14
8190.0,2018-03-15
8190.0,2018-03-16
8129.0,2018-03-19
8129.0,2018-03-20
8068.0,2018-03-21
8068.0,2018-03-22
8007.0,2018-03-23
8007.0,2018-03-26
8125.0,2018-03-27
8125.0,2018-03-28
8304.0,2018-03-29
8273.0,2018-04-02
8212.0,2018-04-03
8212.0,2018-04-04
8151.0,2018-04-05
8090.0,2018-04-06
8029.0,2018-04-09
8029.0,2018-04-10
8109.0,2018-04-11
8109.0,2018-04-12
8218.0,2018-04-13
8397.0,2018-04-16
8460.0,2018-04-17
8460.0,2018-04-18
8460.0,2018-04-19
8460.0,2018-04-20
8365.0,2018-04-23
8304.0,2018-04-24
8304.0,2018-04-25
8449.0,2018-04-26
8449.0,2018-04-27
8449.0,2018-04-30
8455.0,2018-05-02
8394.0,2018-05-03
8333.0,2018-05-04
8333.0,2018-05-07
8272.0,2018-05-08
8277.0,2018-05-09
8277.0,2018-05-10
8277.0,2018-05-11
8216.0,2018-05-14
8216.0,2018-05-15
8341.0,2018-05-16
8280.0,2018-05-17
8280.0,2018-05-18
8280.0,2018-05-21
8219.0,2018-05-22
8231.0,2018-05-23
8231.0,2018-05-24
8231.0,2018-05-25
8410.0,2018-05-28
8410.0,2018-05-29
8349.0,2018-05-30
8288.0,2018-06-01
8227.0,2018-06-04
8406.0,2018-06-05
8406.0,2018-06-06
8345.0,2018-06-07
8345.0,2018-06-08
8284.0,2018-06-11
8223.0,2018-06-12
8101.0,2018-06-13
8040.0,2018-06-14
8040.0,2018-06-15
8040.0,2018-06-18
8219.0,2018-06-19
8219.0,2018-06-20
8398.0,2018-06-21
8398.0,2018-06-22
8398.0,2018-06-25
8337.0,2018-06-26
8303.0,2018-06-27
8242.0,2018-06-28
8242.0,2018-06-29
8242.0,2018-07-02
8181.0,2018-07-03
8181.0,2018-07-04
8120.0,2018-07-05
8120.0,2018-07-06
7998.0,2018-07-10
7998.0,2018-07-11
8117.0,2018-07-12
8198.0,2018-07-13
8137.0,2018-07-16
8316.0,2018-07-17
8316.0,2018-07-18
8255.0,2018-07-19
8255.0,2018-07-20
8255.0,2018-07-23
8194.0,2018-07-24
8140.0,2018-07-25
