<BALANCE>,Data
5238.0,2017-02-06
5362.0,2017-02-07
5402.0,2017-02-08
5357.0,2017-02-09
5357.0,2017-02-10
5453.0,2017-02-13
5533.0,2017-02-14
5565.0,2017-02-15
5467.0,2017-02-16
5505.0,2017-02-17
5450.0,2017-02-20
5434.0,2017-02-21
5334.0,2017-02-22
5533.0,2017-02-23
5233.0,2017-02-24
5273.0,2017-03-01
5366.0,2017-03-02
5403.0,2017-03-03
5063.0,2017-03-06
5102.0,2017-03-07
5122.0,2017-03-08
5084.0,2017-03-09
5024.0,2017-03-10
5130.0,2017-03-13
5314.0,2017-03-14
5250.0,2017-03-15
5330.0,2017-03-16
5600.0,2017-03-17
5520.0,2017-03-20
5709.0,2017-03-21
5858.0,2017-03-22
5868.0,2017-03-23
5766.0,2017-03-24
5800.0,2017-03-27
5754.0,2017-03-28
5734.0,2017-03-29
5509.0,2017-03-30
5559.0,2017-03-31
5589.0,2017-04-03
5464.0,2017-04-04
5496.0,2017-04-05
5588.0,2017-04-06
5568.0,2017-04-07
5478.0,2017-04-10
5742.0,2017-04-11
5614.0,2017-04-12
5693.0,2017-04-13
5892.0,2017-04-17
5894.0,2017-04-18
6113.0,2017-04-19
6115.0,2017-04-20
6135.0,2017-04-24
6083.0,2017-04-25
6163.0,2017-04-26
6003.0,2017-04-27
6015.0,2017-04-28
6055.0,2017-05-02
5917.0,2017-05-03
5917.0,2017-05-04
5791.0,2017-05-05
5911.0,2017-05-08
5859.0,2017-05-09
5993.0,2017-05-10
5884.0,2017-05-11
5902.0,2017-05-12
5861.0,2017-05-15
5914.0,2017-05-16
6292.0,2017-05-17
6125.0,2017-05-18
5914.0,2017-05-19
6272.0,2017-05-22
6265.0,2017-05-23
6395.0,2017-05-24
6271.0,2017-05-25
6265.0,2017-05-26
6283.0,2017-05-29
6293.0,2017-05-30
6420.0,2017-05-31
6482.0,2017-06-01
6602.0,2017-06-02
6406.0,2017-06-05
6523.0,2017-06-06
6463.0,2017-06-07
6590.0,2017-06-08
6647.0,2017-06-09
6673.0,2017-06-12
6690.0,2017-06-13
6681.0,2017-06-14
6729.0,2017-06-16
6610.0,2017-06-19
6793.0,2017-06-20
6657.0,2017-06-21
